id,severity,type,area,title,effort,zoo,previous,persona_file,recommendation
P04-10,P1,feature,ops,"No customer-facing SLA, status page, or support RTO/RPO contract surface",M (process) + L (ops maturity),no,U-19,04-ciso.md,Publish status page + support tiers (P1 response hours); document RTO/RPO for control plane and evidence store; commercial MSA annex before PoR.
P04-11,P1,improvement,reports,Board / executive packs risk overclaim if fed heuristic paths,M,no,theme claim language / Slice 1 residual,04-ciso.md,"Executive pack must show Measured/Heuristic counts, fullyMeasured path ratio, and “do not treat as certification” banner; block Executive export when zero Measured paths unless explicit “hypothesis mode” watermark; regression tests for board HTML/PDF claim language."
P04-12,P1,improvement,nav,Feature zoo undermines trust — Autonomous/Swarm/MCP on primary rail before proof loop is boring,M,yes,"U-03, U-16",04-ciso.md,"Demote Autonomous/* to Labs until Fixed/Measured loop is inevitable; single nav source; persona rail for CISO/enterprise (~Dashboard, Paths, Findings, Remediation, Evidence, Reports, Schedules, Runners, Integrations, Admin)."
P04-13,P1,bug,security,Module license dual-truth creates supply-chain / legal residual,M,no,U-04,04-ciso.md,Single SPDX source of truth; license inventory gate in `pnpm verify`; customer-visible SBOM/module license export.
P04-14,P1,improvement,mssp,MSSP multi-tenant architecture exists but enterprise cross-client blast-radius packaging is incomplete,L,no,theme MSSP architecture (protect) + U-19/U-20,04-ciso.md,"Explicit MSSP security whitepaper: data plane isolation proof, role matrix, no cross-client list leakage tests as release gate; sales-assisted multi-client only after pen-test includes MSSP scenarios."
P04-15,P1,improvement,trust-safety,Trust & Safety surface is deployment-env driven — not a complete enterprise trust pack,M,no,Wave C trust pack theme,04-ciso.md,"Ship versioned Trust Center (public): subprocessors, DPA request path, regions, retention defaults, runner security model, last pen-test date; tenant UI links immutable document versions."
P04-16,P2,improvement,evidence,Audit export is admin-only JSON/CSV — not SIEM-native continuous assurance,L,no,"U-21; Blue team “not a SIEM” (agree: remain validation plane, but emit to SIEM)",04-ciso.md,Document max export window; add signed webhook events for verification + policy + auth-sensitive actions; optional OCSF/CEF mapping; SIEM sink connector (Splunk HEC / Sentinel) as first-class outbound.
P04-17,P2,improvement,remediation,Owner/SLA fields exist in schema but operational SLA discipline is not enterprise-grade,M,no,"U-11, U-12; Slice 4",04-ciso.md,Findings default Active queue with fingerprint/occurrence; remediation detail ticket create; SLA aging widgets on Executive; alert webhook when Measured critical exceeds SLA.
P04-18,P2,bug,ai-agents,Model-gateway “advanced safety” stubs must not be sold as enterprise AI governance,M,yes,U-16; Security eng residual,04-ciso.md,Remove or hard-label stub safety APIs as NotImplemented in product UI; implement real kill switch or hide Autonomous rail; never claim anomaly/blast-radius as production controls until tested.
P04-19,P2,request,gtm,No customer references — cannot complete peer diligence for PoR,XL (GTM),no,U-25,04-ciso.md,Land 2–3 design partners with reference rights under NDA; document first-session ICP protocol outcomes.
P04-20,P2,improvement,evidence,ClosedWithoutEvidence and Fixed honesty are excellent — protect and surface to executives,S,no,theme “what is excellent — protect forever”  ---,04-ciso.md,Executive and board packs must count ClosedWithoutEvidence separately from Fixed; dashboard “Needs you” should promote unverified ticket closes.
P05-1,P0,bug,engines,Fixture/sim modules stamp Validated + measured:true (sales/trust poison),M,no,U-17,05-red-teamer.md,"Enforce a module-output invariant: if `fixtureMode`/`simulated`/`dryRun` (without live tool), validationState ∈ {Inconclusive, Detected?, Logged?} — never Validated/Exploitable/Fixed as exposure proof; set `measured: false`. Add acceptance test scanning registry execute paths. Keep parser unit tests, but quarantine fixture outcomes behind `evidenceBasis: Heuristic` + UI “Fixture” badge."
P05-2,P0,bug,paths,Path edge launch never queues work — Measure hop stops at RequiresApproval mission,L,no,U-05,05-red-teamer.md,Define one explicit happy path: Eligible + Passive/ActiveNonInvasive + verified scope → create mission **and** queue hop module when policy outcome is Allowed; keep RequiresApproval for ControlledValidation+. Surface mission deep-link + “Run hop probe now” with hopKey receipt write-back. Never upgrade edge to Measured without evidence IDs (already correct).
P05-3,P0,improvement,competitive,"BAS honesty gap: Atomic is dry-run import, not control inject BAS",M,yes,U-26,05-red-teamer.md,Rebrand to “Control scenario library (dry-run)”; separate product claim “Measured control effectiveness” only when `endpoint_benign_marker_emit` / `dns_exfil_canary` / runner canary + liveTelemetry observeControl closes Detected/Missed. Keep live Atomic permanently off (AGENTS.md / SECURITY_BOUNDARIES) until a certified allowlist of non-destructive techniques exists on runner with signed results.
P05-4,P1,bug,ops,Module certification report stale (40 modules @ 2026-06-24 vs expanded registry),S,no,U-18,05-red-teamer.md,CI job `pnpm modules:certify` must regenerate report and fail on drift vs committed report + fail if any executable module is NotCertified for ship tags. Publish count and date on Registry Center UI. Exclude catalog-only sims from “Certified engines” count with explicit “Simulation catalog” bucket.
P05-5,P1,improvement,paths,Path measurement ceiling: identity & lateral hops have NoSafeModule,L,no,theme path ceiling / Slice 3,05-red-teamer.md,Ship **import + re-import verification** as Measured-for-identity: signed BloodHound CE graph ingest with collector attestation fields; never claim Exploitable from graph alone. Optional partner: Entra/AD read APIs for high-value edges. Do **not** enable live netexec/kerbrute against customer AD by default.
P05-6,P1,improvement,engines,Kill-chain “Engine” is plan-only; 7/10 stages have null safeLiveModuleId,S,yes,U-29,05-red-teamer.md,Rename; UI label “Coverage planner.” Map stages to techniques **and** evidence class (Exposure scan vs Attack action). Never auto-run engagementPlan as “kill-chain complete.” Remove 50k+ language from customer-visible toolchain strings.
P05-7,P1,feature,engines,Ransomware “emulation” is a null stage — scorecard Scaffold is correct; do not build live crypto,M (substitute) / never (live crypto),no,Slice 9 scaffolds,05-red-teamer.md,"**Never build** live encryption, shadow-copy delete, or mass file lock. **Safe substitute:** canary file write of a uniquely tagged zero-byte marker in an authorized path + EDR detect/block observe (like endpoint benign marker), labeled “ransomware *detection* canary,” not ransomware emulation. Keep scorecard Scaffold until that detection loop is live."
P05-8,P1,improvement,engines,Identity abuse modules are dry-run theater with fixture Validated escape hatch,M,no,U-17 / Slice 9,05-red-teamer.md,Keep live disabled forever unless tenant offensive tier + lab-only scope + rate-limited single-user check modules (not spray). Delete or compile-out netexec live branch. Prefer **password spray *detection*** canary (failed auth marker + IdP logs) over credential validation.
P05-9,P1,improvement,engines,OT/ICS: passive port classification is fine; fixture baseline Validated and liveSupported:true overstate pack maturity,M,no,Slice 9 id 26,05-red-teamer.md,Set `liveSupported: false` until runner implements non-disruptive profile. Fixture → Inconclusive + `partnerLabQualified` required for any customer-visible Validated OT claim. Scope tags: OT assets force maxSafetyLevel PassiveReadOnly (policy). Partner path for deeper packs.
P05-10,P1,improvement,engines,External validation limits are correct — product cannot be sold as full ASV/pentest external,S,no,U-30,05-red-teamer.md,"External workbench copy: “Authorized safe observations (headers, fingerprint, public metadata).” Explicit non-goals list. Compete on proof workflow + scope + evidence, not template count. Optional future: more **GET-only** templates still allowlisted — never generic nuclei severity packs."
P05-11,P1,bug,gtm,Scorecard inflation on Attack Path / Dynamic Paths vs measured reality,S,no,U-07,05-red-teamer.md,Blind rescore rows 3/4/23/16/21/22/26 against measured hop ratio + live inject. Cap at Partial until multi-hop Measured is default journey. Freeze Leading language in external materials.
P05-12,P2,improvement,engines,Catalog-only sims still return Validated in code — quarantine incomplete if toolchain surfaces them,S,yes,U-17,05-red-teamer.md,Single `simulationOutcome()` helper forced for catalog-only; toolchain customer strings ban 50k+/hyperattack; Registry UI section “Simulation / planning only (non-executable).”
P05-13,P2,feature,engines,Safe substitutes to build (detection canaries) vs never build (live offense),XL (program) / governance S,yes,consensus Do-not-prioritize,05-red-teamer.md,"**Build:** multi-hop safe probes + receipts; marker/canary BAS; import graph re-measure; fix re-proof; control observe closed loop; allowlisted external GET templates.     **Never build:** live ransomware encrypt; live credential spray against customer IdP; SharpHound collector in product; Metasploit exploit run; OT protocol write/modbus coil flips; uncontrolled multi-stage agent; phishing payload delivery; malware staging.     **Partner:** dark web credential monitoring (scorecard id 2), crowdsourced HITL (id 28), deep OT lab packs (id 26)."
P05-14,P2,improvement,evidence,BloodHound Validated confuses graph import with path proof,M,no,U-17,05-red-teamer.md,Use validationState `Discovered` or `Inconclusive` for import; create path hypotheses with `evidenceBasis: Heuristic`; only upgrade edges after import integrity checks + optional re-query. Fixed only after re-import shows edge absence **and** optional control/config verification.
P05-15,P2,bug,engines,Metasploit / ScoutSuite “Measured” language on fixture outputs,S,no,U-17,05-red-teamer.md,"`measured` only when tool runtime executed under signed task against verified scope; fixtures set `measured: false`, `fixture: true`. CI invariant on ModuleOutput."
P05-16,P2,improvement,competitive,Do not compete as BAS library peer — own AEV/proof narrative,S (positioning) / L (product depth),yes,U-26 / U-29,05-red-teamer.md,Positioning line for red-team buyers: “We continuously **prove the cheap links** on paths your scanners and humans found — we do not replace your annual RT or your BAS library.” Co-exist with Cymulate/AttackIQ/Pentera/Wiz/Tenable. Wave inclusion only after references + measured multi-hop.
P05-17,P2,innovation,engines,Technique-mapped “safe stage” playbooks as the only ethical kill-chain productization,M,no,theme anti-fabrication,05-red-teamer.md,"Ship ATT&CK-technique → **measurement class** table (Exposure / Detection / Config / Forbidden). For each allowed class, one default module + success criteria (Validated/Detected/Missed/Inconclusive). Export as engagement report for human RT handoff (“we proved these hops; we did not attempt these techniques — schedule RT”)."
P05-18,P3,request,security,Sales / demo guardrails for offensive modules,M,yes,theme sales misuse  ---,05-red-teamer.md,Demo tenant flag: simulation modules watermark findings “DEMO FIXTURE — NOT CUSTOMER PROOF.” Production tenants: hide catalog-only sims. Sales enablement one-pager from this audit’s build vs never-build list.
P06-1,P1,bug,findings,Findings UI never surfaces fingerprint / occurrenceCount / rootCauseSummary,M,no,U-11 | Slice 4 Findings ops,06-blue-teamer.md,"Render fingerprint (short), occurrence count, affected asset count, and root-cause line on list + expand; filter/group by fingerprint; default sort keep priority then occurrence."
P06-2,P1,improvement,findings,Findings workbench is client-side filter/paginate only — not SOC-scale queue ops,M,no,U-11 | theme findings ops,06-blue-teamer.md,"Wire listFindings query params (status, disposition, severity, search, limit/offset or cursor); server-side default “Active” = non-settled dispositions; keep saved-view URL params."
